FECH;ORIGEN;CANTI;FOBDOL;FOBPES
2312;AUS;12;750;2993160
2312;AUS;800;144;566293
2312;AUS;31100;5586;21967448
2312;AUS;56150;14827;59058165
2312;AUS;340000;69560;277067914
2312;AUS;5;5;19993
2312;AUS;270;378;1511437
2312;AUS;46;19;75972
2312;AUS;11;5016;19726147
2312;AUS;3650;1076;4301903
2312;AUS;31800;6746;26981393
2312;AUS;252980;49729;198799227
2312;AUS;175;918;3552055
2312;AUS;31;26522;103845465
2312;AUS;48;7222;28476563
2312;AUS;5;552;2176553
2312;AUS;8;860;3391794
2312;AUS;23;2539;10012142
2312;AUS;78;697;2820327
2312;AUS;22260;3339;13211622
2312;AUS;28250;6808;26959594
2312;AUS;440;568;2245357
2312;AUS;420;695;2753316
2312;AUS;750;1328;5251431
2312;AUS;75;269;1065121
2312;AUS;19800;2844;11297557
2312;AUS;1800;378;1495323
2312;AUS;45;90;357809
2312;AUS;61;684;2705822
2312;AUS;360;61;242100
2312;AUS;7150;1287;5091218
2312;AUS;43500;14495;57735759
2312;AUS;319070;72546;288957086
2312;AUS;110846;40765;159073954
2312;AUS;26500;5468;21861853
2312;AUS;63500;12575;50079938
2312;AUS;2448;6289;24732845
2312;AUS;961;6418;25392507
2312;AUS;24075;5290;20642338
2312;AUS;26850;5997;23883053
2312;AUS;2600;840;3345300
2312;AUS;800;200;798176
2312;AUS;300;75;299316
2312;AUS;28660;6893;27065102
2312;AUS;131;8372;33400393
2312;AUS;4000;138;551874
2312;AUS;168;913;3512119
2312;AUS;422;11356;44006500
2312;AUS;25;164;652134
2312;AUS;303;3187;12509041
2312;AUS;277;329;1312366
2312;AUS;1489;42292;166689269
2312;AUS;22;301;1199937
2312;AUS;673;13947;55071854
2312;AUS;4147;54352;215108573
2312;AUS;310;4727;18589353
2312;AUS;110;626;2495464
2312;AUS;120;993;3960825
2312;AUS;273;2988;11922611
2312;AUT;324;751;2992052
2312;AUT;56;209;831148
2312;AUT;7520;1278;4949262
2312;AUT;24480;4182;16191178
2312;AUT;16000;2603;10302147
2312;AUT;63200;10794;42766885
2312;AZE;6;504;2015249
2312;AZE;7;2064;8252925
2312;AZE;1;368;1471452
2312;AZE;2;736;2942903
2312;AZE;2;496;1983261
2312;AZE;2;496;1983261
2312;AZE;2;392;1567416
2312;AZE;2;256;1023619
2312;AZE;2;208;831690
2312;AZE;5080;3509;13881455
2312;AZE;900;636;2543052
2312;AZE;1776;1587;6280328
2312;AZE;2532;2217;8866256
2312;AZE;600;204;815982
2312;AZE;6800;1008;4031909
2312;AZE;52300;8019;32075278
2312;AZE;7200;1005;4004818
2312;AZE;50900;7356;29300529
2312;BHS;775;202;806886
2312;BHS;2;366;1447383
2312;BHS;222;4498;17797467
2312;BHS;36;1220;4825981
2312;BHS;24;1340;5335754
2312;BHS;12;351;1398335
2312;BHS;51;1335;5317354
2312;BHS;80;5164;20307423
2312;BHS;32;1120;4404501
2312;BHR;800;256;1012931
2312;BHR;732;402;1589668
2312;BHR;180;65;256398
2312;BHR;30;432;1709320
2312;BHR;3312;2171;8680763
2312;BHR;3605;2105;8397604
