DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
2311;ARG;441;5918;23890799
2311;ARG;960;20723;83703340
2311;ARG;4;2540;10173413
2311;ARG;73;1328;5363044
2311;ARG;9533;68659;279952219
2311;ARG;3;4516;18230416
2311;ARG;1;959;3880814
2311;ARG;2;5906;23842554
2311;ARG;4;620;2501039
2311;ARG;1;200;805419
2311;ARG;1;228;921448
2311;ARG;1700;102;405459
2311;ARG;10;63;255150
2311;ARG;2;2;9851
2311;ARG;10;2124;8573498
2311;ARG;0;18;70974
2311;ARG;126;8;30052
2311;ARG;0;38;151435
2311;ARG;24;1532;6183481
2311;ARG;0;46;184500
2311;ARG;0;0;1938
2311;ARG;2;6747;27238033
2311;ARG;1;20810;84013924
2311;ARG;0;41;166736
2311;ARG;0;40;159004
2311;ARG;0;35;137777
2311;ARG;0;75;298132
2311;ARG;5;23;95531
2311;ARG;4200;214;864046
2311;ARG;13150;1788;7214102
2311;ARG;400;306;1234352
2311;ARG;14875;4418;17821461
2311;ARG;6125;674;2717793
2311;ARG;880;510;2058867
2311;ARG;10120;2366;9557932
2311;ARG;16975;1867;7688794
2311;ARG;1;34;137789
2311;ARG;10;134;540176
2311;ARG;2;830;3352402
2311;ARG;28;2584;10432705
2311;ARG;1;240;967109
2311;ARG;11;1450;5854208
2311;ARG;1;2922;11795256
2311;ARG;17;1117;4509259
2311;ARG;3;212;856046
2311;ARG;2;200;806065
2311;ARG;5;2479;10144068
2311;ARG;5000;24000;97068240
2311;ARG;112000;3252;13307930
2311;ARG;33;75;304772
2311;ARG;125;92;375801
2311;ARG;0;222;903459
2311;ARG;238;923;3698433
2311;ARG;2290;1903119;7637141251
2311;AUS;1980;302;1237398
2311;AUS;3080;862;3428118
2311;AUS;6450;3753;15358514
2311;AUS;34;3316;13201494
2311;AUS;5;1168;4651015
2311;AUS;4;1280;5095258
2311;AUS;5;586;2334265
2311;AUS;14;1360;5413711
2311;AUS;965;708;2886828
2311;AUS;60;111764;447621045
2311;AUS;6;626;2578632
2311;AUS;9;2016;8299045
2311;AUS;9;2884;11870599
2311;AUS;7;1757;7232025
2311;AUS;7;1267;5216543
2311;AUS;6000;2969;12038660
2311;AUS;15800;5492;21767926
2311;AUS;219242;32724;133920290
2311;AUS;32360;5865;23835206
2311;AUS;500;138;560244
2311;AUS;226;1405;5784806
2311;AUS;477;12681;51683810
2311;AUS;1;62;249061
2311;AUS;208;1300;5267813
2311;AUS;349;1209;4840275
2311;AUS;129;195;788265
2311;AUS;1;96;389486
2311;AUS;1422;37831;153016357
2311;AUS;40;494;1994089
2311;AUS;558;14094;57120489
2311;AUS;5178;76780;310114670
2311;AUS;71;1828;7378207
2311;AUS;169;2034;8211887
2311;AUS;22;73;295119
2311;AUS;358;3013;12165265
2311;AUS;30;880;3623173
2311;AUS;467;9276;38194354
2311;AUS;211;2357;9704907
2311;AUS;10;137;565773
2311;AUS;1008;9478;39027820
2311;AUS;293;13824;56205481
2311;AUS;22;202;816343
2311;AUS;25600;9432;38048496
2311;AUS;1216;791;3236624
2311;AUS;600;192;775140
2311;AUS;15000;11550;47266412
2311;AUS;20;12894;53092600
2311;AUS;127;2436;9826410
2311;AUS;8;114;459857
2311;AUS;83;3313;13510027
2311;AUS;1;2800;11331908
2311;AUS;27150;6555;26614283
2311;AUS;480;624;2533534
2311;AUS;2360;4119;16777721
2311;AUS;1080;1912;7761383
2311;AUS;50;176;712556
2311;AUS;23400;3372;13690826
2311;AUS;1700;357;1449474
2311;AUS;75;151;612068
2311;AUS;112;988;4011428
2311;AUS;4767;1289;5109357
2311;AUS;9000;2428;9638288
2311;AUS;102575;32397;130552929
2311;AUS;18000;3700;14705845
2311;AUS;340;459;1863609
2311;AUS;33;3;12708
2311;AUS;30;3630;14538368
2311;AUS;5700;1667;6662189
2311;AUS;8250;1740;6916657
2311;AUS;1400;376;1517983
2311;AUS;5400;810;3293727
2311;AUS;1186;7798;32099111
2311;AUS;44;3341;13281650
2311;AUS;33;1356;5390818
2311;AUS;300;15;59848
2311;AUS;9200;1814;7467494
2311;AUS;1;11655;47978856
2311;AUS;93630;17819;71938285
2311;AUS;255040;72546;292881986
2311;AUS;18376;6520;25916315
2311;AUS;45500;8962;35624757
2311;AUS;51;168753;682960902
2311;AUS;552;4601;18211125
2311;AUS;1462;30460;123195775
2311;AUS;3;390;1574504
2311;AUS;8;2304;9301686
2311;AUS;6;1548;6249570
2311;AUS;6;1800;7266942
2311;AUS;38;8152;32911173
2311;AUS;12;3192;12886710
2311;AUS;14;2356;9511620
2311;AUS;2;516;2083190
2311;AUS;4;1288;5199901
2311;AUT;13080;2224;9066596
2311;AUT;25740;4376;17842062
2311;AUT;128;119334;491247299
2311;AUT;20160;3202;12922126
2311;AUT;72460;10959;44154375
2311;AUT;160;2;6454
2311;AUT;380;4;15329
2311;AZE;7179;5070;20631407
2311;AZE;32;77;312253
2311;AZE;1;18656;76344544
2311;AZE;1;17252;70600877
2311;AZE;1;12717;52042161
2311;AZE;1400;308;1243455
2311;AZE;1000;320;1291901
2311;AZE;432;35;141431
2311;AZE;6400;855;3478202
2311;AZE;56300;7909;32158041
2311;BHS;192;8418;33985025
2311;BHS;200;9067;36603183
2311;BHS;682;7681;31007719
2311;BHS;219;15430;62293236
2311;BHS;587;8240;33264911
2311;BHS;3;2847;11493355
2311;BHR;3468;2268;8989377
2311;BHR;8237;3636;14800766
2311;BHR;480;134;550009
2311;BHR;931;240;987982
2311;BHR;541;51500;212004385
2311;BHR;1006;317;1278659
2311;BHR;3774;543;2192033
2311;BHR;36;98;391308
2311;BHR;6;30;117305
2311;BHR;82;231;917252
2311;BHR;7;31;124460
2311;BHR;18500;4520;17992628
2311;BHR;16762;2154;8561787
2311;BHR;4558;834;3339726
2311;BHR;11875;2969;12104900
2311;BHR;103900;15657;62968945
2311;BHR;7500;750;3054731
2311;BHR;4000;800;3247195
2311;BHR;920;120;482446
2311;BHR;4110;2743;11295908
2311;BHR;6180;1746;7120005
2311;BHR;328;4180;17054501
2311;BRB;58;5785;23672656
2311;BEL;80;530;2124284
2311;BEL;160;462;1851940
2311;BEL;69;200;799570
2311;BEL;169;977;3912783
2311;BEL;1;40;162406
2311;BEL;2;100;400506
2311;BEL;448;3504;14146314
2311;BEL;150;1275;5147417
2311;BEL;2646;13837;54844909
2311;BEL;1;1312;5220768
2311;BEL;544;22280;88564210
2311;BEL;3;4623;18918596
2311;BEL;6;1384;5585695
2311;BMU;36;493;2018337
2311;BMU;481;21889;89575988
2311;BMU;210;3786;15495526
2311;BMU;6;199;814701
2311;BMU;8;166;679654
2311;BMU;41;533;2181294
2311;BLR;26104;26089;106376903
2311;BLR;95350;33270;136998188
2311;BLR;2800;532;2190622
2311;BLR;56350;10821;44555681
2311;BLR;15200;2612;10605152
2311;BLR;66150;22181;91051890
2311;BLR;2200;418;1721203
2311;BLR;108250;20660;84889335
2311;BLR;1936;5902;23997919
2311;BLR;212;436;1774311
2311;BLR;10000;3654;15046112
2311;BLR;750;143;586774
2311;BLR;2100;399;1642966
2311;BLR;960;309;1271549
2311;BLR;12800;1626;6578982
2311;BLR;400;44;176742
2311;BLR;11150;1461;5814366
2311;BLR;5600;728;2987894
2311;BLR;26950;3462;14151484
2311;BLR;24225;5956;23673648
2311;BLR;33900;4591;18249241
2311;BLR;13200;1757;6985227
2311;BLR;70;36;147315
2311;BLR;500;1;4117
2311;BLR;43300;5573;22584559
2311;BLR;559350;73347;296931698
2311;BLR;1000;190;768951
2311;BLR;130;179;717488
2311;BLR;100;26;101507
2311;BLR;315;462;1852611
2311;BLR;200;61;243617
2311;BLR;3;29;115041
2311;BOL;300;1338;5397265
2311;BOL;1160;4610;18596763
2311;BOL;827;5736;23139783
2311;BOL;480;2282;9137945
2311;BOL;160;510;2044183
2311;BOL;160;452;1810287
2311;BOL;320;1438;5757674
2311;BOL;160;1011;4049917
2311;BOL;640;2032;8138282
2311;BOL;800;4838;19378082
2311;BOL;160;1040;4164461
2311;BOL;6;75;308744
2311;BOL;353;10578;43547183
2311;BOL;3;9;36304
